Index X000750.SZ.Close signals.num Delt.1.arithmetic Delt.2.arithmetic Delt.3.arithmetic Delt.4.arithmetic Delt.5.arithmetic Delt.6.arithmetic Delt.7.arithmetic Delt.8.arithmetic Delt.9.arithmetic Delt.10.arithmetic atr SMI ADX oscillator pctB Delt.1.arithmetic.1 EMA ..11 EMA.1 ..13 signal EMA.2 ..16 ..17 ..18
2007-03-21 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.840292698058789 0.89935 1.1702778228589e-16
2007-03-22 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.841473844097613 0.89935 1.1702778228589e-16
2007-03-23 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.842631367215661 0.89935 1.1702778228589e-16
2007-03-26 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.843765739871347 0.89935 1.1702778228589e-16
2007-03-27 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.84487742507392 0.89935 1.1702778228589e-16
2007-03-28 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.845966876572442 0.89935 1.1702778228589e-16
2007-03-29 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.847034539040993 0.89935 1.1702778228589e-16
2007-03-30 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.848080848260173 0.89935 1.1702778228589e-16
2007-04-02 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.84910623129497 0.89935 1.1702778228589e-16
2007-04-03 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.850111106669071 0.89935 1.1702778228589e-16
2007-04-04 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.851095884535689 0.89935 1.1702778228589e-16
2007-04-05 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.852060966844975 0.89935 1.1702778228589e-16
2007-04-06 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.853006747508076 0.89935 1.1702778228589e-16
2007-04-09 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.853933612557914 0.89935 1.1702778228589e-16
2007-04-10 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.854841940306756 0.89935 1.1702778228589e-16
2007-04-11 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.855732101500621 0.89935 1.1702778228589e-16
2007-04-12 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.856604459470609 0.89935 1.1702778228589e-16
2007-04-13 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.857459370281196 0.89935 1.1702778228589e-16
2007-04-16 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.858297182875573 0.89935 1.1702778228589e-16
2007-04-17 0.89935 2 0 0 0 0 0 0 0 0 0 0 0 NA NA 0 0.75 NA 0 NA 0 0 -3.33066907387547e-14 NA 0.859118239218061 0.89935 1.1702778228589e-16
