Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD
2016-11-22 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.147642851886796 72.3907186432757 100 0 0.75 2.22044604925031e-16 -5.00100636365596e-05 NA 1.65696119332689e-05 NA 3.41743931054032 100 64.3887686934819 63.560699 0
2016-11-23 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.137096933894882 72.3907186432757 100 0 0.75 0 -4.09173247935488e-05 NA 1.35569552181291e-05 NA 3.1606194362722 100 64.3556459057427 63.560699 0
2016-11-24 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.127304295759533 72.3907186432757 100 0 0.75 0 -3.34778111947217e-05 NA 1.10920542693784e-05 NA 2.92326595745328 100 64.323848029513 63.560699 0
2016-11-25 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.118211131776709 72.3907186432757 100 0 0.75 0 -2.7390936432045e-05 NA 9.07531712949141e-06 NA 2.70388711862424 100 64.2933220683325 63.560699 0
2016-11-28 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.109767479506944 72.3907186432757 100 0 0.75 0 -2.24107661716732e-05 NA 7.42525946958388e-06 NA 2.50110652936565 100 64.2640171455992 63.560699 0
2016-11-29 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.101926945256448 72.3907186432757 100 0 0.75 0 -1.83360814131872e-05 NA 6.0752122932959e-06 NA 2.31365431208291 100 64.2358844197752 63.560699 0
2016-11-30 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.094646449166702 72.3907186432757 100 0 0.75 0 -1.50022484289713e-05 NA 4.97062823996937e-06 NA 2.1403588800157 100 64.2088770029842 63.560699 0
2016-12-01 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0878859885119376 72.3907186432757 100 0 0.75 0 -1.22745668964311e-05 NA 4.06687765088403e-06 NA 1.98013931522426 100 64.1829498828648 63.560699 0
2016-12-02 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.081608417903942 72.3907186432757 100 0 0.75 0 -1.00428274607163e-05 NA 3.3274453507233e-06 NA 1.8319983137601 100 64.1580598475502 63.560699 0
2016-12-05 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0757792451965176 72.3907186432757 100 0 0.75 0 -8.21685883149518e-06 NA 2.72245528695543e-06 NA 1.69501566403426 100 64.1341654136482 63.560699 0
2016-12-06 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0703664419681949 72.3907186432757 100 0 0.75 -1.11022302462516e-16 -6.72288449849606e-06 NA 2.22746341659989e-06 NA 1.56834222418782 100 64.1112267571023 63.560699 0
2016-12-07 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0653402675418953 72.3907186432757 100 0 0.75 0 -5.50054186240587e-06 NA 1.82247006812719e-06 NA 1.45119436477318 100 64.0892056468182 63.560699 0
2016-12-08 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.060673105574617 72.3907186432757 100 0 0.75 0 -4.50044334196844e-06 NA 1.49111187392224e-06 NA 1.34284884405424 100 64.0680653809455 63.560699 0
2016-12-09 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0563393123192873 72.3907186432757 100 0 0.75 0 -3.68218091615599e-06 NA 1.2200006241182e-06 NA 1.24263808457048 100 64.0477707257076 63.560699 0
2016-12-12 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0523150757250525 72.3907186432757 100 0 0.75 0 -3.0126934768549e-06 NA 9.9818232882398e-07 NA 1.14994582116046 100 64.0282878566793 63.560699 0
2016-12-13 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0485782846018344 72.3907186432757 100 0 0.75 0 -2.46493102651765e-06 NA 8.16694632674166e-07 NA 1.06420309231322 100 64.0095843024122 63.560699 0
2016-12-14 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0451084071302748 72.3907186432757 100 0 0.75 0 -2.01676174896898e-06 NA 6.68204699460681e-07 NA 0.984884548443815 100 63.9916288903157 63.560699 0
2016-12-15 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0418863780495409 72.3907186432757 100 0 0.75 0 -1.65007779461099e-06 NA 5.46712935922375e-07 NA 0.911505052422932 100 63.974391694703 63.560699 0
2016-12-16 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0388944939031451 72.3907186432757 100 0 0.75 0 -1.35006365013626e-06 NA 4.47310583936489e-07 NA 0.843616549393856 100 63.9578439869149 63.560699 0
2016-12-19 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0361163157672062 72.3907186432757 100 0 0.75 0 -1.10459753192967e-06 NA 3.65981386857127e-07 NA 0.780805184559199 100 63.9419581874383 63.560699 0
2016-12-20 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0335365789266915 72.3907186432757 100 0 0.75 0 -9.03761617033365e-07 NA 2.99439316519468e-07 NA 0.722688649198055 100 63.9267078199408 63.560699 0
2016-12-21 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0311411090033564 72.3907186432757 100 0 0.75 0 -7.39441323027299e-07 NA 2.44995804425019e-07 NA 0.668913736671142 100 63.9120674671432 63.560699 0
2016-12-22 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0289167440745452 72.3907186432757 100 0 0.75 0 -6.04997446113244e-07 NA 2.00451112711379e-07 NA 0.619154091581506 100 63.8980127284574 63.560699 0
2016-12-23 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.0268512623549348 72.3907186432757 100 0 0.75 0 -4.94997910456291e-07 NA 1.64005455854765e-07 NA 0.573108136579152 100 63.8845201793191 63.560699 0
