Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD
2014-09-11 10.744 1 -0.00922168941350054 0.00223880597014925 -0.0088560885608856 -0.0117733627667402 -0.00702402957486137 -0.0110456553755524 0.0162693908437381 0.0287246265798544 0.0471734892787525 0.0299079754601226 0.26580404009886 -9.73809749297874 26.774802705754 -50 0.519867291663256 -0.286688716227138 -0.0606791235192151 -7.90067720090297 1.55415072504727e-05 0.188148817878494 -0.356612752732989 52.7433424569653 10.924 10.698 0.207908099355888
2014-09-12 10.776 1 0.00297840655249448 -0.00627074880118039 0.00522388059701484 -0.00590405904059044 -0.00883002207505523 -0.00406654343807766 -0.00810014727540509 0.0192962542565267 0.0317885867483723 0.0502923976608187 0.254246608663227 -6.70210359110953 26.5700847498883 -50 0.48531731806024 0.476428755536443 0.0762275702674949 -6.93512304250563 0.000554244242749384 0.171057398344156 -0.294900500362366 53.5025429456237 10.924 10.7496 0.140097743656983
2014-09-15 10.66 1 -0.0107646622123236 -0.0078183172002978 -0.016967908520841 -0.00559701492537323 -0.0166051660516605 -0.0194996320824136 -0.0147874306839186 -0.0187776141384389 0.00832387438516835 0.0206817311374952 0.246657565187282 -4.87163048828501 26.0971704007238 -30 0.433550810629577 0.0419232243155698 -0.0703101206410924 -7.14285714285716 -0.00150373874908207 0.164861937558471 -0.257749927299393 50.3450461687982 10.88416 10.7712 0.0981028938297837
2014-09-16 10.356 2 -0.0285178236397748 -0.0389755011135857 -0.0361131794489947 -0.0450018443378827 -0.0339552238805971 -0.0446494464944649 -0.0474613686534217 -0.0428835489833642 -0.0467599410898381 -0.0204313280363223 0.253610596245333 -6.58681934285573 24.3413170677911 -30 0.174911704821096 -0.51494356997299 -0.218202995112268 -3.25581395348843 -0.00641539054738985 0.173450153797346 -0.282691672227778 43.1568700494194 10.8467104 10.7496 0.154438912770641
2014-09-17 10.36 0 0.00038624951718802 -0.0281425891181989 -0.0386043058648849 -0.035740878629933 -0.0446329767613427 -0.033582089552239 -0.0442804428044281 -0.0470934510669611 -0.0425138632162663 -0.0463917525773198 0.245209839370667 -9.48591301642567 23.066532439136 -30 0.0830106029251108 0.630343700883667 -0.0715778516159218 -4.22535211267611 -0.0051787287174666 0.163997730013283 -0.34424938770449 43.2716413426103 10.811507776 10.6992 0.190893105631864
2014-09-18 10.368 0 0.000772200772200859 0.00115874855156428 -0.0273921200750469 -0.0378619153674833 -0.0349962769918093 -0.0438952416082625 -0.0328358208955224 -0.0435424354243542 -0.0463576158940397 -0.0417744916820703 0.233980565129905 -12.6816423825279 21.8828038553847 -30 0.121662337008105 0.184437344699455 0.106725559421686 7.01298701298705 -0.00409674153752706 0.155245085077066 -0.423734803011766 43.5172737255817 10.77841730944 10.654 0.211510966356094
2014-09-19 10.564 0 0.0189043209876543 0.0196911196911198 0.0200849748937815 -0.00900562851782361 -0.0196733481811433 -0.016753536857781 -0.0258207303578015 -0.0145522388059702 -0.0254612546125461 -0.0283296541574687 0.234981953334912 -13.7669450931854 20.8202649331588 -25 0.322417957652125 -0.537854824591019 0.245678683515103 7.73195876288656 8.52698306877246e-05 0.162872419353069 -0.479900189741014 49.3085093301794 10.7473122708736 10.6232 0.198248329122845
2014-09-22 10.504 2 -0.00567966679288157 0.0131172839506173 0.0138996138996139 0.0142912321359598 -0.0146341463414634 -0.0252412769116556 -0.0223380491437082 -0.0313537440059019 -0.0201492537313434 -0.0309963099630997 0.234197528096704 -14.7955059084791 20.3632683241421 30 0.434555412121875 -0.331353756547368 0.0451656761227469 -4.58221024258758 -0.000962900464506692 0.161092430167232 -0.526462674982433 47.6963046487101 10.7180735346212 10.5896 0.185483871715755
2014-09-23 10.644 2 0.0133282559025134 0.00757288905717535 0.0266203703703705 0.0274131274131275 0.0278099652375434 -0.00150093808630392 -0.012249443207127 -0.00930752047654504 -0.0184433788270011 -0.00708955223880603 0.238326276089796 -14.2056920699851 20.2556385229456 30 0.579972619966894 -0.339523240911574 -0.0279813299255433 -16.5165165165166 0.00163549160222424 0.169070430444209 -0.542270977637886 51.6673122624741 10.26 10.582 0.181051251184728
2014-09-24 10.652 2 0.000751597143930693 0.0140898705255141 0.00833017796289282 0.0273919753086418 0.0281853281853282 0.0285824642719197 -0.000750469043152013 -0.0115070527097254 -0.00856291883842153 -0.0177056436739211 0.234160113511954 -13.0193753102522 19.6868202611135 30 0.480648298437585 -0.0382597668863639 0.13468194218213 -12.9629629629631 0.00147478351889814 0.172836299576476 -0.535533664655195 51.8920787568791 10.26 10.5628 0.159019775150416
