Index X002353.SZ.Close signals.num Delt.1.arithmetic Delt.2.arithmetic Delt.3.arithmetic Delt.4.arithmetic Delt.5.arithmetic Delt.6.arithmetic Delt.7.arithmetic Delt.8.arithmetic Delt.9.arithmetic Delt.10.arithmetic atr SMI ADX oscillator pctB Delt.1.arithmetic.1 EMA ..11 EMA.1 ..13 signal EMA.2 ..16 ..17 ..18
2010-04-23 11.8974 1 -0.0263356029854656 -0.00450996962673522 0.0415211282401449 0.0580263052583838 0.0283684265117725 0.0295074590702986 -0.0241873969636575 -0.0372480315916393 -0.107612454152009 -0.0859895365184725 0.628876504405022 2.68259362928943 32.2715553808653 -30 0.485349846398025 -0.361353575518825 0.000376745165957496 3.55607659241888 0.000272630076608093 0.60895586537648 2.47153257409904 53.1622654909113 12.8293945370873 11.97436 0.603614225957091
2010-04-26 12.1667 1 0.0226351976061998 -0.00429651695692024 0.0180231439257654 0.0650961647888928 0.0819749397504648 0.0516457490578432 0.0528105638434115 -0.00209968586730958 -0.0154559505409582 -0.0874130857104282 0.626078182661806 2.19134220308714 30.7485960821372 -30 0.533752050373657 -0.177171006800928 0.0477591841181627 -0.207072962767455 0.00433855144562477 0.608885793580732 2.29934385914582 56.1004161208807 12.734324864862 11.85782 0.385410640457393
2010-04-27 10.9615 1 -0.0990572628568142 -0.0786642459697077 -0.102928178604164 -0.0828194422364095 -0.0404093459743853 -0.0252025362608828 -0.0525274003388307 -0.0514779689176561 -0.100948959589249 -0.112982189242335 0.66826545532882 -3.69863531077082 29.283775906388 -30 0.0791555688924194 -1.30465108637266 -0.137296700877359 -26.3505495072494 -0.014460687518455 0.558604033337915 2.00319097852918 43.0768581045034 12.6449593729703 11.7182 0.434030764398613
2010-04-28 10.7051 1 -0.0233909592665237 -0.120131177722801 -0.100215173063022 -0.12391154903758 -0.104273175303105 -0.0628550918752353 -0.0480039840283151 -0.0746896933236525 -0.0736648091101035 -0.121978625854023 0.675296494233905 -10.444223970927 28.8497869507643 -60 -0.0714202872167731 -0.577008316256273 -0.0813389645190178 -28.9202423437629 -0.0160843732908312 0.581522630155132 1.60408565238363 40.9014256964135 12.5102826231327 11.56948 0.502866091740358
2010-04-29 10.1564 2 -0.051255943428833 -0.0734479770104456 -0.165229684302235 -0.146334493250626 -0.168816289118764 -0.150184498757457 -0.110889338270697 -0.0967994379674341 -0.122117346056771 -0.121144993250493 0.676603887502911 -18.7924706638339 28.5731262782401 -65 -0.061118889934636 2.7020930172114 -0.245694446905935 -47.6407002115291 -0.0224792042250133 0.57112511247289 1.07974700887609 36.6373293782602 12.3297643608194 11.42948 0.673010876253539
2010-04-30 10.3462 0 0.0186877239966918 -0.0335260763561294 -0.0561328285362405 -0.149629727041844 -0.130381427874998 -0.153283357339269 -0.134303381222126 -0.0942738836217839 -0.0799206751505127 -0.105711717318397 0.657760038395561 -24.3632361068087 28.5355053700691 -70 -0.0147502105010054 -0.0289708998302992 -0.0518868050108487 -50.7952979602946 -0.0149943081847033 0.572098244227661 0.525634503296321 39.0060889013679 12.0689606375211 11.30718 0.751361263603897
2010-05-04 10.2179 0 -0.0124006881753687 0.00605529518333281 -0.0455110181128621 -0.0678374310085298 -0.160174903630401 -0.141165296619429 -0.1637832263978 -0.145038615046062 -0.105505510763278 -0.0913302919545749 0.654462892795878 -29.0879604743792 27.9675305859385 -70 0.0677422646591703 -0.203872219443086 -0.109936043983251 -42.5221573069432 -0.0145227409102788 0.581094763790036 -0.0396043350727364 37.9726761021756 11.8394533610186 11.20448 0.827182161585007
2010-05-05 10.7115 1 0.0483073821431017 0.035307649185208 0.0546551927848449 0.000597845886540105 -0.0228070975687634 -0.119605151766708 -0.0996772404054668 -0.123387783160927 -0.103737668705496 -0.0622948236468209 0.687657686167601 -31.1405908205056 26.5736143065675 -80 0.190532670475635 -2.5716487716069 -0.0310105676743923 -27.6248041190956 -0.00309908217330052 0.62420201171931 -0.512592204256971 44.10783150116 11.6374869576963 11.13332 0.83683730504269
2010-05-06 10.7846 1 0.00682444102133228 0.0554614940447644 0.0423730451760067 0.0618526249458469 0.00742636687186482 -0.016138302239657 -0.113596949049455 -0.0935330408324508 -0.11740539478853 -0.0976211792859355 0.667567851441344 -31.9543673446978 25.279263475723 -80 0.288425517887481 -1.39321933119813 -0.116549805906822 -16.0872102718026 -0.00129480522882183 0.612625163056795 -0.891602138636043 44.975837789051 11.4597565227728 11.01665 0.790152274002367
2010-05-07 10.7949 1 0.000955065556441648 0.00778602436633524 0.056469528963877 0.0433685797684173 0.06286676381395 0.00838852509551535 -0.0151986498198239 -0.112750376026367 -0.0926673054616974 -0.116562459080791 0.662470147766962 -32.3024786586236 24.5449862493696 -80 0.274004556205058 -0.676025338592539 -0.0269255204987386 -16.1477341452733 -0.000885737813319381 0.621616934852282 -1.18853194276856 45.1052000654637 11.30335374004 10.87422 0.668268829472425
