,index,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
0,2019-01-08,0.0072791453058965346,-0.0018927661353690798,-0.001943020033071796,-0.0018927661353690798,-0.0010019147160140874,-0.0012998094516971418,0.003941712238238896,-0.0056449939118105325,0.003342464908072229,-0.006914768667605953,-0.0025845578873374213,-0.0007245391625770219,0.0015126834013017645,-0.00700909214169098
1,2019-01-09,-0.00558286731520856,-0.00340807225149064,-0.009563558743432066,-0.00340807225149064,-0.002018498929680642,-0.0027483888070825606,-0.0067851995903894175,-0.0059938599519943625,-0.000488591739741793,-0.0007860179935933629,-0.005806790199630417,-0.004328974458174463,0.00035038960478230713,-0.0007040003777759292
2,2019-01-10,-0.002342144421532815,0.0007044422553703971,0.008470885527315558,0.0007044422553703971,-0.0018781643965134205,-0.0018230252005323635,0.002255290404845313,-0.007411257551986064,-0.0016447779626181428,-0.00345735412372097,0.0006463168112940715,0.002195381051557019,-0.003019058379283068,-0.0031566258279026
3,2019-01-11,-0.008952156357488006,0.0017271792541231354,0.0015830066539892747,0.0017271792541231354,-0.0008860698890761579,-0.0006539193377383592,-0.004119550399662919,-0.008094056195753603,-0.0009359004523599168,-0.007123775357906661,-0.011525355593207155,0.0010229409041518514,-5.740290575078494e-08,-0.00708078209485331
4,2019-01-14,0.0022111552925210493,-0.000904793733107671,0.013017751891445436,-0.000904793733107671,0.008888528369168255,0.008863030938420297,-0.008695430458694482,-0.02588322702122637,-0.002069714681068152,-0.007671566220073006,0.022562630150955,0.0005294632740335007,0.0024323783927325095,-0.007149894770461093
5,2019-01-15,0.0038329099860321316,-0.00898622323278013,-0.0045928911512602335,-0.00898622323278013,-0.009019484065292113,-0.008339263072935709,0.008828524578371121,-0.0035421814681941086,0.001864194894733712,-0.004417056850486949,0.014888550430907125,-0.01066722889097221,0.0005603354957489873,-0.004411094557222951
6,2019-01-16,0.004420891844552098,-0.003981366233790534,0.005618672511794114,-0.003981366233790534,-0.004838678943429025,-0.005100094233826459,0.00489383176059452,0.004633937088064128,0.004310403294902999,0.003318409609938747,0.0323103442458353,-0.003486486152238537,-0.0005458988945533289,0.0032918627806441444
7,2019-01-17,-0.008916465268832836,0.0007948939722399375,-0.008583611928180617,0.0007948939722399375,-0.003809483193895894,-0.0037501173328497893,-0.006323556300011885,-0.004421184386290365,-0.0030608074798831727,-0.008861089028593429,-0.0014284881007280469,0.000829151189083503,-0.0047510468472183555,-0.008684196473451276
8,2019-01-18,0.009583485023113273,-0.011165422978133544,-0.0004939967776992401,-0.011165422978133544,0.005983619515962995,0.0051562899058064954,0.012190453357727582,0.0006307748604418573,0.009845320542607549,0.0013765019749617975,0.002690248498764815,-0.01078894212323281,0.008417670227191818,0.00120702175859385
9,2019-01-21,-0.0004920049935089555,-0.006868501354363309,-0.00873205226985103,-0.006868501354363309,-0.01081489742488078,-0.010150647192614161,0.00359402601973431,-0.012727920720516027,0.009047793372532946,-0.004346375437737155,0.021366164826614388,-0.006605271062360418,0.009854307187346282,-0.004007604548604269
10,2019-01-22,-0.01523898339830998,-0.018562542977213225,-0.007182218070566671,-0.018562542977213225,-0.024661201876169023,-0.024644797482598183,-0.006462942912119265,0.008203014718812227,-0.024908150786379927,-0.024598249988168844,-0.001054178042511844,-0.024886991350594457,-0.024905263823671125,-0.02465279924798208
11,2019-01-23,0.005161116543783152,0.0001521923354950767,0.018534769798987504,0.0001521923354950767,0.0014743993784214456,0.0014752754127525655,0.00147052705737302,0.0014705266700643744,0.0014705266700643744,0.0014705266700643744,-0.003969070248309276,0.0014219862335165226,0.0021303444773989742,0.0014705317149358568
12,2019-01-24,-0.027607505476408414,-0.04713498759572109,0.008822273909689319,-0.04713498759572109,-0.06039890268455368,-0.0603653361349766,-0.050954218361942104,-0.0602241898175944,-0.06094359475189483,-0.06094348533672634,0.007230958906323646,-0.059999504493276824,-0.060914083692020546,-0.060937750169052514
